,Matched,Keypoint
orb,18264428.858,38930430.862
torb,15042625.251,29997224.449
sift,1224769.539,9400090.180
tsift,1317354.709,5346372.745
spoint,291920.000,8095000.000
tspoint,236540.000,4365000.000
sphorb,19691302.605,45365861.723
alike,40760.000,13117000.000
talike,49980.000,4894000.000
Ltspoint,101320.000,4365000.000
Proposed,2347180.000,4365000.000
