,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.20,0.40,0.80,3.21,11.22,26.45,39.88,54.71
torb,0.20,1.00,6.41,11.82,23.05,37.07,53.91,66.73
corb,0.00,0.60,2.80,5.20,12.40,22.20,32.80,49.80
cporb,0.00,0.80,3.80,8.80,18.20,31.80,47.80,64.00
sift,0.00,0.00,1.20,5.01,11.22,23.25,34.87,51.10
tsift,0.60,1.80,8.22,19.44,33.07,50.90,62.93,77.56
csift,0.00,0.80,2.40,7.62,13.43,25.45,34.87,50.30
cpsift,0.20,0.40,4.01,8.62,15.63,25.45,39.48,57.31
spoint,0.20,3.40,13.20,33.00,51.40,72.00,83.20,88.00
tspoint,0.40,1.60,11.80,29.40,52.80,76.20,84.60,91.00
cspoint,0.00,0.80,6.00,17.60,37.00,58.40,69.00,79.00
cpspoint,0.20,1.20,8.80,27.60,50.20,70.00,79.40,87.00
alike,0.20,0.60,1.20,2.00,3.21,6.61,12.42,17.84
talike,0.00,0.00,0.40,1.40,4.21,8.62,15.03,24.45
calike,0.00,0.00,0.20,1.00,2.00,5.00,11.40,17.40
cpalike,0.20,0.40,1.00,3.00,5.20,9.20,16.60,25.40
sphorb,0.40,0.80,6.21,19.44,35.07,54.71,66.93,79.16
