,Matched,Keypoint
orb,2911823.647,5015000.000
torb,3086292.585,5015000.000
sift,745591.182,4873717.435
tsift,1134308.617,4599168.337
spoint,268160.000,5015000.000
tspoint,235860.000,4343000.000
sphorb,2931082.164,5094939.880
alike,27620.000,5015000.000
talike,45380.000,3896000.000
Ltspoint,101200.000,4343000.000
Proposed,2340940.000,4343000.000
