,Matched,Keypoint
orb,17054125.000,44498750.000
torb,9878575.000,21960000.000
corb,12380850.000,30891250.000
cporb,23102425.000,58062500.000
sift,6799362.245,13184846.939
tsift,4836112.532,7694526.854
csift,6928825.000,13405000.000
cpsift,7590500.000,14270000.000
spoint,1999975.000,11557500.000
tspoint,1463258.145,5690989.975
cspoint,1599975.000,10111250.000
cpspoint,1958721.805,11065927.318
alike,359520.202,10712525.253
talike,410475.000,5418750.000
calike,411478.697,9363984.962
cpalike,501475.000,10196250.000
sphorb,19077900.000,57600000.000
