,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.00,0.75,5.00,13.50,25.00,46.25,70.00,85.50
torb,0.75,2.00,11.50,29.25,48.50,74.50,88.00,95.00
corb,0.00,0.50,5.25,16.75,35.50,64.50,79.75,91.50
cporb,0.50,0.50,10.50,26.25,45.25,73.75,85.25,92.00
sift,0.00,1.02,4.85,16.07,34.44,61.48,82.40,93.62
tsift,0.26,2.81,15.60,37.08,62.92,84.14,93.35,98.47
csift,0.25,0.75,5.50,19.75,40.50,65.75,83.75,91.50
cpsift,0.25,1.75,8.00,25.25,46.50,70.75,85.00,93.50
spoint,0.50,4.75,31.75,57.25,74.75,88.50,92.50,95.00
tspoint,1.00,4.01,25.06,54.64,76.19,90.23,94.49,95.74
cspoint,0.50,2.00,19.75,45.50,65.75,81.25,87.50,92.50
cpspoint,0.00,2.76,25.81,54.64,73.93,86.72,91.48,94.49
alike,0.00,0.00,1.26,2.53,5.56,11.36,17.42,25.51
talike,0.25,0.25,2.50,4.25,11.00,20.25,30.75,45.25
calike,0.00,0.25,0.75,2.01,7.52,18.30,28.82,42.61
cpalike,0.25,0.25,1.50,4.75,10.00,22.50,35.50,48.25
sphorb,0.25,2.75,17.00,42.25,63.75,85.75,92.00,95.75
