,Matched,Keypoint
orb,2664700.000,5015000.000
torb,2856925.000,5015000.000
sift,722000.000,5015000.000
tsift,1141304.348,5015000.000
spoint,175825.000,5015000.000
tspoint,262475.000,5015000.000
sphorb,2790050.000,5132500.000
alike,13425.693,5015000.000
talike,40675.000,4918750.000
Ltspoint,153875.000,5015000.000
Proposed,2570950.000,5015000.000
