,Matched,Keypoint
orb,21678575.000,44498750.000
torb,18358000.000,35702500.000
sift,1474987.342,13186329.114
tsift,1695319.693,8535575.448
spoint,248325.000,11557500.000
tspoint,289400.000,6340000.000
sphorb,23843675.000,50556250.000
alike,22443.325,10716612.091
talike,46140.351,5775726.817
Ltspoint,153175.000,6340000.000
Proposed,3186200.000,6340000.000
