,Matched,Keypoint
orb,1502565.130,2515000.000
torb,1595150.301,2515000.000
sift,5000000.000,2515000.000
tsift,5000000.000,2515000.000
spoint,5000000.000,2515000.000
tspoint,5000000.000,2515000.000
sphorb,1568537.074,2556072.144
Mtspoint,1839700.000,2515000.000
MLtspoint,5000000.000,2515000.000
Rtspoint,2528960.000,2515000.000
Proposed,1161643.287,2515000.000
