,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.20,1.00,4.41,12.02,24.85,46.29,63.53,78.36
torb,0.40,0.80,6.21,16.43,31.86,54.31,68.34,79.16
corb,0.00,0.40,2.60,7.20,16.20,30.20,47.40,62.00
cporb,0.20,1.00,5.40,13.00,30.60,56.40,73.40,83.60
sift,0.20,0.60,3.01,10.22,24.45,45.89,63.53,72.75
tsift,0.20,1.60,4.41,17.84,38.28,63.53,76.75,85.57
csift,0.00,0.20,4.01,10.62,27.25,48.70,61.12,72.34
cpsift,0.40,0.60,2.20,13.03,30.66,53.71,69.34,79.96
spoint,0.00,0.80,3.00,8.60,19.60,34.00,46.40,52.60
tspoint,0.00,0.40,1.60,4.40,15.40,31.60,41.00,47.00
cspoint,0.00,0.20,1.00,2.60,8.80,17.60,25.20,35.20
cpspoint,0.00,0.20,1.60,5.60,16.20,29.20,38.80,49.40
alike,0.00,0.00,0.20,1.20,2.20,6.00,12.00,18.20
talike,0.00,0.00,0.40,1.00,2.60,5.40,13.20,24.40
calike,0.00,0.20,0.20,0.20,1.20,4.20,8.20,20.20
cpalike,0.00,0.00,0.00,0.80,1.80,7.80,14.40,27.20
sphorb,0.60,0.80,6.61,19.04,38.08,63.13,76.35,87.37
