,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.40,1.40,8.82,20.04,35.07,56.71,76.15,89.58
torb,0.40,4.01,13.43,25.65,42.48,62.32,76.35,85.97
corb,0.00,0.00,4.00,13.00,24.20,41.80,58.40,78.60
cporb,0.20,1.40,8.00,25.40,44.60,65.80,78.20,89.80
sift,0.00,1.20,8.02,17.84,34.87,55.51,69.14,83.77
tsift,0.40,2.20,11.62,28.26,49.10,68.54,79.76,91.18
csift,0.00,1.00,6.81,21.64,38.48,56.51,70.34,84.57
cpsift,0.40,1.40,8.82,27.45,44.69,62.93,75.75,87.17
spoint,0.00,0.60,8.00,16.40,29.00,42.00,50.80,64.40
tspoint,0.20,0.60,4.80,15.00,26.80,36.80,45.40,54.20
cspoint,0.00,0.40,2.80,9.40,16.80,27.60,34.60,44.40
cpspoint,0.40,1.40,5.40,15.00,25.00,37.00,45.60,57.00
alike,0.00,0.00,0.20,0.60,2.80,7.00,12.40,22.20
talike,0.00,0.00,0.40,1.20,3.00,7.20,11.80,28.60
calike,0.00,0.00,0.00,0.20,3.00,8.00,17.60,33.20
cpalike,0.00,0.00,0.20,1.00,3.00,9.20,21.00,37.60
sphorb,0.40,1.80,17.03,31.86,48.90,71.14,82.77,92.79
