,Matched,Keypoint
orb,1346250.000,2515000.000
torb,1448000.000,2515000.000
sift,860763.359,2515000.000
tsift,981457.801,2515000.000
spoint,593222.506,2515000.000
tspoint,691815.857,2515000.000
sphorb,801704.261,2583847.118
alike,519260.204,2515000.000
talike,529350.000,2515000.000
Ntspoint,593222.506,2515000.000
