,Matched,Keypoint
orb,1346250.000,2515000.000
torb,1448000.000,2515000.000
sift,416050.633,2515000.000
tsift,640843.990,2515000.000
spoint,118600.000,2515000.000
tspoint,183925.000,2515000.000
sphorb,1423150.000,2583750.000
alike,9269.521,2515000.000
talike,24050.000,2515000.000
Ltspoint,66675.000,2515000.000
Proposed,936275.000,2515000.000
