,Matched,Keypoint
orb,1502565.130,2515000.000
torb,1595150.301,2515000.000
sift,493987.976,2515000.000
tsift,704949.900,2515000.000
spoint,231540.000,2515000.000
tspoint,220860.000,2515000.000
sphorb,1568537.074,2556072.144
Mtspoint,1839700.000,2515000.000
MLtspoint,231540.000,2515000.000
Rtspoint,147288.503,2515000.000
Proposed,1161643.287,2515000.000
